name,score,release_date,region,platform,genres,themes,publishers
command & conquer,9.3,1995,Europe,PlayStation,strategy,sci-fi,nintendo
command & conquer,9.3,1995,North America,PlayStation,strategy,sci-fi,nintendo
command & conquer,9.3,1995,North America,PC,strategy,sci-fi,nintendo
command & conquer,9.3,1995,Europe,PC,strategy,sci-fi,nintendo
command & conquer,9.3,1995,North America,Nintendo 64,strategy,sci-fi,nintendo
command & conquer,9.3,1995,Europe,Nintendo 64,strategy,sci-fi,nintendo
command & conquer,9.3,1995,Japan,Saturn,strategy,sci-fi,nintendo
command & conquer,9.3,1995,North America,Saturn,strategy,sci-fi,nintendo
command & conquer,9.3,1995,Europe,Saturn,strategy,sci-fi,nintendo
command & conquer,9.3,1995,North America,Macintosh,strategy,sci-fi,nintendo
command & conquer,9.3,1995,South America,Saturn,strategy,sci-fi,nintendo
command & conquer,9.3,1995,South America,PC,strategy,sci-fi,nintendo
the dig,4.5,1995,North America,PC,adventure,,
the dig,4.5,1995,Europe,PC,adventure,,
the dig,4.5,1995,North America,Macintosh,adventure,,
mission critical,8.6,1995,North America,PC,adventure,,
mission critical,8.6,1995,Europe,PC,adventure,,
shannara,7.0,1995,North America,PC,adventure,,
shannara,7.0,1995,Europe,PC,adventure,,
screamer,7.9,1995,North America,PC,arcade,,
screamer,7.9,1995,North America,Macintosh,arcade,,
screamer,7.9,1995,Europe,PC,arcade,,
screamer,7.9,1995,North America,Linux,arcade,,
comix zone,6.6,1995,Japan,Genesis,action,,sega
comix zone,6.6,1995,North America,Genesis,action,,sega
comix zone,6.6,1995,Europe,Genesis,action,,sega
comix zone,6.6,1995,Australia,Genesis,action,,sega
comix zone,6.6,1995,South America,Genesis,action,,sega
comix zone,6.6,1995,North America,PC,action,,sega
comix zone,6.6,1995,Europe,Game Boy Advance,action,,sega
comix zone,6.6,1995,North America,Xbox 360,action,,sega
comix zone,6.6,1995,Japan,Xbox 360,action,,sega
comix zone,6.6,1995,Europe,Xbox 360,action,,sega
comix zone,6.6,1995,Australia,Xbox 360,action,,sega
comix zone,6.6,1995,Korea,Xbox 360,action,,sega
comix zone,6.6,1995,Europe,PlayStation 3,action,,sega
comix zone,6.6,1995,North America,PlayStation 3,action,,sega
comix zone,6.6,1995,Japan,PlayStation 3,action,,sega
comix zone,6.6,1995,Korea,PlayStation 3,action,,sega
comix zone,6.6,1995,Australia,PlayStation 3,action,,sega
comix zone,6.6,1995,North America,iOS (iPhone/iPad),action,,sega
comix zone,6.6,1995,North America,Linux,action,,sega
comix zone,6.6,1995,North America,Macintosh,action,,sega
quake,9.3,1996,North America,PC,shooter,sci-fi,sega
quake,9.3,1996,Europe,PC,shooter,sci-fi,sega
quake,9.3,1996,North America,Nintendo 64,shooter,sci-fi,sega
quake,9.3,1996,Europe,Nintendo 64,shooter,sci-fi,sega
quake,9.3,1996,North America,Saturn,shooter,sci-fi,sega
quake,9.3,1996,Europe,Saturn,shooter,sci-fi,sega
quake,9.3,1996,North America,Macintosh,shooter,sci-fi,sega
quake,9.3,1996,North America,Mobile,shooter,sci-fi,sega
quake,9.3,1996,South America,Zeebo,shooter,sci-fi,sega
quake,9.3,1996,South America,Saturn,shooter,sci-fi,sega
quake,9.3,1996,Europe,Amiga,shooter,sci-fi,sega
quake,9.3,1996,South America,PC,shooter,sci-fi,sega
red baron ii,7.1,1997,North America,PC,simulation,military,
red baron ii,7.1,1997,Europe,PC,simulation,military,
earthworm jim,7.1,1994,North America,PC,platformer,,sega
earthworm jim,7.1,1994,Europe,PC,platformer,,sega
earthworm jim,7.1,1994,North America,Game Boy,platformer,,sega
earthworm jim,7.1,1994,Europe,Game Boy,platformer,,sega
earthworm jim,7.1,1994,Europe,Game Boy Advance,platformer,,sega
earthworm jim,7.1,1994,North America,Game Boy Advance,platformer,,sega
earthworm jim,7.1,1994,North America,Genesis,platformer,,sega
earthworm jim,7.1,1994,Europe,Genesis,platformer,,sega
earthworm jim,7.1,1994,Australia,Genesis,platformer,,sega
